OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPEAREA,SHAPELEN
41725,2017,CA,CCO,KRN,FEED,01717895,2017/05/14 00:00:00+00,2017/05/14 00:00:00+00,14, ,,34.28936768,1,1,,207401.151984835,2296.39411989818
41726,2017,CA,CCO,KRN,CREEK,01720870,2017/06/06 00:00:00+00,2017/06/06 00:00:00+00,14, ,,32.65187836,1,1,,200199.440707875,3027.39357284107
41727,2017,CA,CCO,KRN,TOWERLINE,01721579,2017/06/09 00:00:00+00,2017/06/09 00:00:00+00,14, ,,2.05643082,1,1,,12540.462336375,459.202337812475
41728,2017,CA,CCO,KRN,TEJON,01725328,2017/07/02 00:00:00+00,2017/07/02 00:00:00+00,14, ,,8.05501461,1,1,,49121.85735244,1224.98339843152
41729,2017,CA,CCO,KRN,DERBY,01738291,2017/09/27 00:00:00+00,2017/09/27 00:00:00+00,14, ,,2.37405109,1,1,,14437.38682965,518.374143330521
41730,2017,CA,CCO,KRN,ELK,01729022,2017/06/02 00:00:00+00,2017/06/02 00:00:00+00,14, ,,14.04067993,1,1,,85523.10111759,1794.49435030774
41731,2017,CA,CCO,KRN,ERIC,01720797,2017/06/03 00:00:00+00,2017/06/03 00:00:00+00,14, ,,13.25267696,1,1,,80432.062716915,1372.83581194802
41732,2017,CA,CCO,KRN,SKYLINE,01718179,2017/05/16 00:00:00+00,2017/05/16 00:00:00+00,14, ,,8.17379856,1,1,,49759.654668015,1008.44232124809
41733,2017,CA,CCO,KRN,HILLS,01745915,2017/11/16 00:00:00+00,2017/11/16 00:00:00+00,14, ,,3.97989511,1,1,,24223.35936707,611.508636028925
41734,2017,CA,CCO,KRN,AQUADUCT,01717912,2017/05/14 00:00:00+00,2017/05/14 00:00:00+00,14, ,,13.82444477,1,1,,84771.520700395,2789.91395339114
41735,2017,CA,CCO,KRN,CORCARAN,01723345,2017/06/20 00:00:00+00,2017/06/20 00:00:00+00,14, ,,12.45354557,1,1,,76469.13612378,1486.85047559365
41736,2017,CA,CCO,KRN,WEST,01723148,2017/06/19 00:00:00+00,2017/06/19 00:00:00+00,14, ,,32.93501663,1,1,,202633.650213665,2383.01049576244
41737,2017,CA,CCO,KRN,OWL,01730106,2017/08/01 00:00:00+00,2017/08/01 00:00:00+00,14, ,,1.69020069,1,1,,10348.757036215,701.483755774506
41738,2017,CA,CCO,KRN,BRECKENRIDGE,01747990,2017/12/01 00:00:00+00,2017/12/01 00:00:00+00,14, ,,22.35437775,1,1,,136411.17643708,1652.1665443375
41739,2017,CA,CCO,KRN, ,01743194,2017/10/28 00:00:00+00,2017/10/28 00:00:00+00,14, ,,28.04708672,1,1,,169132.534417385,3231.82364826892
41740,2017,CA,CCO,KRN,CARNATION,01719595,2017/05/26 00:00:00+00,2017/05/26 00:00:00+00,14, ,,3.3584919,1,1,,20435.481189815,623.279826769706
